indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
eversex,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,female,Y015_024,273,1145,643.8059423889788,0.6265698848621722,0.018838288593279323,0.5889746129750051,0.662695779322976
sex12m,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,female,Y015_024,273,1145,643.8059423889788,0.528283272431358,0.020047617167278587,0.48889658422667787,0.567320944988715
sexcohab,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,female,Y015_024,273,1145,643.8059423889788,0.1290175100976483,0.01416038876382229,0.10371091129115326,0.15940098478538975
sexnonreg,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,female,Y015_024,273,1145,643.8059423889788,0.3992657623337097,0.019106613392979612,0.36247090014921557,0.4372340927196162
sexpaid12m,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,female,Y015_024,273,1145,643.8059423889788,0.013917388894714791,0.004152035776894368,0.007740038718521587,0.024901177911413514
sti12m,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,female,Y015_024,273,1145,643.8059423889788,0.04302157929084285,0.007168670191172816,0.030967824341573254,0.05947909656994778
eversex,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,female,Y015_019,228,557,316.70045622117976,0.3212562606365122,0.02728261719264233,0.27027332876334925,0.376889276633791
sex12m,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,female,Y015_019,228,557,316.70045622117976,0.2662805533183284,0.02807349100016054,0.21497332500255886,0.3247672259841571
sexcohab,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,female,Y015_019,228,557,316.70045622117976,0.031895485295014944,0.010149346454155942,0.017005004803412254,0.059041701197396476
sexnonreg,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,female,Y015_019,228,557,316.70045622117976,0.23438506802331346,0.0270493087992514,0.18555578977559442,0.2914653894751515
sexpaid12m,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,female,Y015_019,228,557,316.70045622117976,0.0011227211479429803,0.0011245100416753594,1.574618350176344e-4,0.007958035692071834
sti12m,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,female,Y015_019,228,557,316.70045622117976,0.018769492791299622,0.005948025921629608,0.01005513971350948,0.03477092778404771
eversex,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,female,Y020_024,244,588,328.30542650364816,0.8966915735197601,0.014901726401253954,0.863622170302577,0.9224621294033034
sex12m,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,female,Y020_024,244,588,328.30542650364816,0.7600862818751245,0.02188909854904044,0.7146114212371067,0.8003395605155749
sexcohab,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,female,Y020_024,244,588,328.30542650364816,0.21494477722196476,0.021704128078106476,0.17545235614160484,0.2605179120016035
sexnonreg,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,female,Y020_024,244,588,328.30542650364816,0.5451415046531597,0.025180198698750995,0.4955070187614461,0.5938949232723857
sexpaid12m,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,female,Y020_024,244,588,328.30542650364816,0.02523728091177175,0.007808224328691083,0.013708039780963698,0.046010912452832814
sti12m,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,female,Y020_024,244,588,328.30542650364816,0.06447825216399505,0.01175095658385543,0.04493371077727622,0.09170766133573563
eversex,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,female,Y025_029,250,649,332.7831823531751,0.9834711146639494,0.007301455707627508,0.9610457774995655,0.9930795000894574
sex12m,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,female,Y025_029,250,649,332.7831823531751,0.89088997217758,0.01757112885735532,0.8513936875901645,0.9208647113354472
sexcohab,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,female,Y025_029,250,649,332.7831823531751,0.4187479744764419,0.037698447942305695,0.34717456148189957,0.4939132175816415
sexnonreg,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,female,Y025_029,250,649,332.7831823531751,0.4721419977011382,0.03295559070868727,0.4083672603822677,0.5368391450850492
sexpaid12m,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,female,Y025_029,250,649,332.7831823531751,0.01833559768270207,0.006265997904158693,0.009352521856722628,0.035636514585493044
sti12m,BWA2013BAIS,CY2013Q1,BWA,Botswana,all,female,Y025_029,250,649,332.7831823531751,0.07453585663997958,0.012728313229156261,0.05311743951307409,0.1036454226804041
eversex,BWA2013BAIS,CY2013Q1,BWA_1_01va,Central,all,female,Y015_024,100,422,242.9972056487926,0.5699801746792844,0.026542508671072978,0.5173737860976921,0.6210523709141617
sex12m,BWA2013BAIS,CY2013Q1,BWA_1_01va,Central,all,female,Y015_024,100,422,242.9972056487926,0.47476065469385936,0.028529629905669242,0.4193888227136344,0.530760182684754
sexcohab,BWA2013BAIS,CY2013Q1,BWA_1_01va,Central,all,female,Y015_024,100,422,242.9972056487926,0.10979522057541043,0.01739416693294961,0.08005234453360016,0.1488013918996393
sexnonreg,BWA2013BAIS,CY2013Q1,BWA_1_01va,Central,all,female,Y015_024,100,422,242.9972056487926,0.36496543411844895,0.02805987664195594,0.31191757024227196,0.4215085070459295
sexpaid12m,BWA2013BAIS,CY2013Q1,BWA_1_01va,Central,all,female,Y015_024,100,422,242.9972056487926,0.012387451585255074,0.007038223800636292,0.004045187087701167,0.03728957541293114
sti12m,BWA2013BAIS,CY2013Q1,BWA_1_01va,Central,all,female,Y015_024,100,422,242.9972056487926,0.07623912292410141,0.014376261766097168,0.052417798605026426,0.10963356780511545
