indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
eversex,CMR2004DHS,CY2004Q2,CMR,Cameroon,all,female,Y015_024,466,4873,4340.873732822973,0.7243371494923706,0.00908902062705297,0.7061714648428488,0.74179040699861
sex12m,CMR2004DHS,CY2004Q2,CMR,Cameroon,all,female,Y015_024,466,4882,4348.897299822471,0.6382306615684662,0.009736305661673873,0.618938429378776,0.6570873097366695
sexcohab,CMR2004DHS,CY2004Q2,CMR,Cameroon,all,female,Y015_024,466,4882,4348.897299822471,0.356255750158508,0.01422575108205575,0.32888580766559405,0.38459811562273466
sexnonreg,CMR2004DHS,CY2004Q2,CMR,Cameroon,all,female,Y015_024,466,4882,4348.897299822471,0.2819749114099582,0.01164454248186046,0.2597224813895598,0.3053474759758429
sexnonregplus,CMR2004DHS,CY2004Q2,CMR,Cameroon,all,female,Y015_024,466,4882,4348.897299822471,0.2819749114099582,0.01164454248186046,0.2597224813895598,0.3053474759758429
sexpaid12m,CMR2004DHS,CY2004Q2,CMR,Cameroon,all,female,Y015_024,466,4882,4348.897299822471,0,0,,
sti12m,CMR2004DHS,CY2004Q2,CMR,Cameroon,all,female,Y015_024,466,4893,4357.915648998306,0.09615137740675785,0.005443461115747873,0.08599849896453506,0.10736209595124402
eversex,CMR2004DHS,CY2004Q2,CMR,Cameroon,all,female,Y015_019,453,2674,2372.1045073319724,0.5464321543418972,0.013275137456983584,0.5203100178440108,0.5723010943664041
sex12m,CMR2004DHS,CY2004Q2,CMR,Cameroon,all,female,Y015_019,453,2675,2373.104061603405,0.4818906900950302,0.013101465148737959,0.4562825550125817,0.5075943099694548
sexcohab,CMR2004DHS,CY2004Q2,CMR,Cameroon,all,female,Y015_019,453,2675,2373.104061603405,0.213752584288922,0.01473583284833737,0.18628940451154521,0.2440501538660271
sexnonreg,CMR2004DHS,CY2004Q2,CMR,Cameroon,all,female,Y015_019,453,2675,2373.104061603405,0.2681381058061082,0.012628105705952098,0.24412162527259798,0.2935995753114628
sexnonregplus,CMR2004DHS,CY2004Q2,CMR,Cameroon,all,female,Y015_019,453,2675,2373.104061603405,0.2681381058061082,0.012628105705952098,0.24412162527259798,0.2935995753114628
sexpaid12m,CMR2004DHS,CY2004Q2,CMR,Cameroon,all,female,Y015_019,453,2675,2373.104061603405,0,0,,
sti12m,CMR2004DHS,CY2004Q2,CMR,Cameroon,all,female,Y015_019,453,2678,2375.815894668699,0.06287438286825799,0.004942748923224735,0.05385528921707744,0.07328690077728202
eversex,CMR2004DHS,CY2004Q2,CMR,Cameroon,all,female,Y020_024,455,2199,1968.8041630704558,0.9374674550196103,0.006564053716815231,0.9232986628514847,0.9491630037090264
sex12m,CMR2004DHS,CY2004Q2,CMR,Cameroon,all,female,Y020_024,455,2207,1975.839006705197,0.8247854803263851,0.009644352631040142,0.8050735885332079,0.8428930079141298
sexcohab,CMR2004DHS,CY2004Q2,CMR,Cameroon,all,female,Y020_024,455,2207,1975.839006705197,0.5262996105397114,0.017410539662920475,0.49210585826376585,0.5602484484855915
sexnonreg,CMR2004DHS,CY2004Q2,CMR,Cameroon,all,female,Y020_024,455,2207,1975.839006705197,0.29848586978667363,0.015112970665471862,0.2697325792669798,0.32892368067651906
sexnonregplus,CMR2004DHS,CY2004Q2,CMR,Cameroon,all,female,Y020_024,455,2207,1975.839006705197,0.29848586978667363,0.015112970665471862,0.2697325792669798,0.32892368067651906
sexpaid12m,CMR2004DHS,CY2004Q2,CMR,Cameroon,all,female,Y020_024,455,2207,1975.839006705197,0,0,,
sti12m,CMR2004DHS,CY2004Q2,CMR,Cameroon,all,female,Y020_024,455,2215,1982.141243973769,0.1357912236277701,0.009487496777754905,0.11824536065270877,0.1554815446721554
