indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
eversex,KEN2014DHS,CY2014Q3,KEN,Kenya,all,female,Y015_024,1513,5382,2975.7056493522873,0.6269364423720373,0.01026172884122497,0.6066145183735335,0.6468197711527863
sex12m,KEN2014DHS,CY2014Q3,KEN,Kenya,all,female,Y015_024,1514,5395,2981.640742920434,0.5175915934738102,0.010628399101955134,0.4967418060624352,0.5383803060476345
sexcohab,KEN2014DHS,CY2014Q3,KEN,Kenya,all,female,Y015_024,1514,5395,2981.640742920434,0.3300430206888249,0.00956871591407417,0.3115661076529345,0.34906009653948417
sexnonreg,KEN2014DHS,CY2014Q3,KEN,Kenya,all,female,Y015_024,1514,5395,2981.640742920434,0.18730716019476984,0.008570139916538835,0.17108614506859815,0.2046863517407217
sexpaid12m,KEN2014DHS,CY2014Q3,KEN,Kenya,all,female,Y015_024,1514,5395,2981.640742920434,2.4141259021550078e-4,2.4126117876220122e-4,3.4039008351650484e-5,0.0017099939976504826
sti12m,KEN2014DHS,CY2014Q3,KEN,Kenya,all,female,Y015_024,1514,5388,2976.964080549418,0.037374386130876444,0.0036680376985996754,0.030813497894342526,0.045266988658968464
eversex,KEN2014DHS,CY2014Q3,KEN,Kenya,all,female,Y015_019,1233,2858,1681.7075657208493,0.36166363142163,0.014400025438598684,0.33394341865786364,0.3903363720856137
sex12m,KEN2014DHS,CY2014Q3,KEN,Kenya,all,female,Y015_019,1234,2861,1682.6563244708332,0.26616279722923464,0.012215234971983064,0.24291676768342352,0.290778969582438
sexcohab,KEN2014DHS,CY2014Q3,KEN,Kenya,all,female,Y015_019,1234,2861,1682.6563244708332,0.11152096041824579,0.008610984407496981,0.09572700358914343,0.12954743925691364
sexnonreg,KEN2014DHS,CY2014Q3,KEN,Kenya,all,female,Y015_019,1234,2861,1682.6563244708332,0.15464183681098886,0.009851951173176674,0.13630128861177257,0.17495037531455754
sexpaid12m,KEN2014DHS,CY2014Q3,KEN,Kenya,all,female,Y015_019,1234,2861,1682.6563244708332,0,0,,
sti12m,KEN2014DHS,CY2014Q3,KEN,Kenya,all,female,Y015_019,1234,2858,1680.6023463408287,0.022688806714055064,0.003994670084885208,0.016047529966822738,0.03198922235558574
eversex,KEN2014DHS,CY2014Q3,KEN,Kenya,all,female,Y020_024,1237,2524,1331.1891928004402,0.89503768406943,0.00828814688551979,0.8776487204402955,0.9102081168754304
sex12m,KEN2014DHS,CY2014Q3,KEN,Kenya,all,female,Y020_024,1238,2534,1335.4824495587611,0.7716107276768808,0.012167199568108234,0.7468926597901535,0.7945787809907762
sexcohab,KEN2014DHS,CY2014Q3,KEN,Kenya,all,female,Y020_024,1238,2534,1335.4824495587611,0.5508163982147942,0.01448268924130966,0.5222958496223025,0.5790066833937816
sexnonreg,KEN2014DHS,CY2014Q3,KEN,Kenya,all,female,Y020_024,1238,2534,1335.4824495587611,0.22030901713537226,0.013747436366967623,0.19454756025783326,0.2484295838694538
sexpaid12m,KEN2014DHS,CY2014Q3,KEN,Kenya,all,female,Y020_024,1238,2534,1335.4824495587611,4.853123267142996e-4,4.855223201696341e-4,6.826831101234522e-5,0.0034412670431813804
sti12m,KEN2014DHS,CY2014Q3,KEN,Kenya,all,female,Y020_024,1239,2530,1332.852475006864,0.05222014993110399,0.005873088436990883,0.04183719069781848,0.06500508498707111
eversex,KEN2014DHS,CY2014Q3,KEN,Kenya,all,female,Y025_029,1321,2843,1520.151875559502,0.9811905721864275,0.0033792164989494,0.9732872981253489,0.9867873104706124
sex12m,KEN2014DHS,CY2014Q3,KEN,Kenya,all,female,Y025_029,1322,2858,1526.6924160719732,0.8910219802684587,0.008321761424230611,0.8736088448304137,0.9062934068895883
sexcohab,KEN2014DHS,CY2014Q3,KEN,Kenya,all,female,Y025_029,1322,2858,1526.6924160719732,0.7403824068253316,0.012523144815972284,0.7150956566712946,0.7641649950280824
sexnonreg,KEN2014DHS,CY2014Q3,KEN,Kenya,all,female,Y025_029,1322,2858,1526.6924160719732,0.15063957344312706,0.01035065297128343,0.1314555120022221,0.17206863469068104
sexpaid12m,KEN2014DHS,CY2014Q3,KEN,Kenya,all,female,Y025_029,1322,2858,1526.6924160719732,0,0,,
sti12m,KEN2014DHS,CY2014Q3,KEN,Kenya,all,female,Y025_029,1320,2856,1517.6806449171977,0.06220417668937809,0.006196343236795372,0.05111070758142643,0.07551384246389842
