indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
eversex,LSO2014DHS,CY2014Q4,LSO,Lesotho,all,female,Y015_024,399,2829,1964.4531154778717,0.6842599182231415,0.01155553659939591,0.6611869297535776,0.7064592248493141
sex12m,LSO2014DHS,CY2014Q4,LSO,Lesotho,all,female,Y015_024,399,2829,1964.4531154778717,0.5885578225777539,0.011887993759192883,0.5650758085772315,0.6116433449443379
sexcohab,LSO2014DHS,CY2014Q4,LSO,Lesotho,all,female,Y015_024,399,2829,1964.4531154778717,0.3130581315595484,0.012330386581518424,0.28941264341298367,0.33771734212711235
sexnonreg,LSO2014DHS,CY2014Q4,LSO,Lesotho,all,female,Y015_024,399,2829,1964.4531154778717,0.27549969101820543,0.011433594590301275,0.2536635708121152,0.2984638206093545
sexpaid12m,LSO2014DHS,CY2014Q4,LSO,Lesotho,all,female,Y015_024,399,2829,1964.4531154778717,0,0,,
sti12m,LSO2014DHS,CY2014Q4,LSO,Lesotho,all,female,Y015_024,399,2842,1973.5992249849303,0.09766185066569928,0.006678833310314366,0.08533118303083609,0.11155702542776627
eversex,LSO2014DHS,CY2014Q4,LSO,Lesotho,all,female,Y015_019,389,1537,1068.8573017714987,0.4576468002789845,0.016312950922326996,0.42589115385589843,0.48975036543001604
sex12m,LSO2014DHS,CY2014Q4,LSO,Lesotho,all,female,Y015_019,389,1537,1068.8573017714987,0.37623032316991734,0.014858379402024252,0.34758513747862857,0.4057679793647312
sexcohab,LSO2014DHS,CY2014Q4,LSO,Lesotho,all,female,Y015_019,389,1537,1068.8573017714987,0.1560640542078035,0.011799913341712726,0.13430654410649223,0.18061089491027232
sexnonreg,LSO2014DHS,CY2014Q4,LSO,Lesotho,all,female,Y015_019,389,1537,1068.8573017714987,0.22016626896211383,0.013827825234358826,0.19426223385125305,0.24845935255035545
sexpaid12m,LSO2014DHS,CY2014Q4,LSO,Lesotho,all,female,Y015_019,389,1537,1068.8573017714987,0,0,,
sti12m,LSO2014DHS,CY2014Q4,LSO,Lesotho,all,female,Y015_019,389,1542,1072.416471677451,0.05683587694746783,0.007346744581660941,0.04403698555263203,0.0730703001041953
eversex,LSO2014DHS,CY2014Q4,LSO,Lesotho,all,female,Y020_024,382,1292,899.2175212774978,0.9314444739850748,0.008851193700934998,0.9119288570486458,0.946887504691714
sex12m,LSO2014DHS,CY2014Q4,LSO,Lesotho,all,female,Y020_024,382,1292,899.2175212774978,0.8201599429373599,0.012934809523752719,0.7934015424125657,0.8441334779253435
sexcohab,LSO2014DHS,CY2014Q4,LSO,Lesotho,all,female,Y020_024,382,1292,899.2175212774978,0.4843037841479769,0.018687108142112184,0.4478270370621783,0.5209485435533275
sexnonreg,LSO2014DHS,CY2014Q4,LSO,Lesotho,all,female,Y020_024,382,1292,899.2175212774978,0.33585615878938296,0.017764561955030723,0.3019751204548517,0.371515342352437
sexpaid12m,LSO2014DHS,CY2014Q4,LSO,Lesotho,all,female,Y020_024,382,1292,899.2175212774978,0,0,,
sti12m,LSO2014DHS,CY2014Q4,LSO,Lesotho,all,female,Y020_024,383,1300,904.9224081717961,0.1420082983406846,0.011638946786764649,0.12068764589577817,0.16638275812312225
