indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
eversex,MOZ2009AIS,CY2009Q3,MOZ,Mozambique,all,female,Y015_024,269,2137,1197.145148030023,0.879387383864518,0.008905897895842488,0.8608144210849299,0.8957820205343726
sex12m,MOZ2009AIS,CY2009Q3,MOZ,Mozambique,all,female,Y015_024,269,2137,1197.145148030023,0.7890080586385502,0.011389760173240723,0.7658206512925337,0.8104677648998337
sexcohab,MOZ2009AIS,CY2009Q3,MOZ,Mozambique,all,female,Y015_024,269,2137,1197.145148030023,0.5632145060608239,0.01850285810461572,0.5266752141207596,0.5990802863436562
sexnonreg,MOZ2009AIS,CY2009Q3,MOZ,Mozambique,all,female,Y015_024,269,2137,1197.145148030023,0.2257935525777263,0.016934144477110804,0.19433545466649038,0.26069618007545997
sexnonregplus,MOZ2009AIS,CY2009Q3,MOZ,Mozambique,all,female,Y015_024,269,2137,1197.145148030023,0.2257935525777263,0.016934144477110804,0.19433545466649038,0.26069618007545997
sexpaid12m,MOZ2009AIS,CY2009Q3,MOZ,Mozambique,all,female,Y015_024,269,2137,1197.145148030023,0,0,,
sti12m,MOZ2009AIS,CY2009Q3,MOZ,Mozambique,all,female,Y015_024,269,2128,1190.672751305582,0.07001109933645691,0.009561454410552225,0.05343654608226183,0.09123113088336242
eversex,MOZ2009AIS,CY2009Q3,MOZ,Mozambique,all,female,Y015_019,255,1031,604.802772473841,0.7522500430239509,0.0167684697075773,0.717947400768205,0.7836380958557941
sex12m,MOZ2009AIS,CY2009Q3,MOZ,Mozambique,all,female,Y015_019,255,1031,604.802772473841,0.6841833740505261,0.018979996889828266,0.6458627462509601,0.7201540745574323
sexcohab,MOZ2009AIS,CY2009Q3,MOZ,Mozambique,all,female,Y015_019,255,1031,604.802772473841,0.40933056027168946,0.026231771290655046,0.3590754055036755,0.46155414303916603
sexnonreg,MOZ2009AIS,CY2009Q3,MOZ,Mozambique,all,female,Y015_019,255,1031,604.802772473841,0.27485281377883664,0.021847827904363383,0.23415683648771865,0.31966938977153275
sexnonregplus,MOZ2009AIS,CY2009Q3,MOZ,Mozambique,all,female,Y015_019,255,1031,604.802772473841,0.27485281377883664,0.021847827904363383,0.23415683648771865,0.31966938977153275
sexpaid12m,MOZ2009AIS,CY2009Q3,MOZ,Mozambique,all,female,Y015_019,255,1031,604.802772473841,0,0,,
sti12m,MOZ2009AIS,CY2009Q3,MOZ,Mozambique,all,female,Y015_019,255,1028,602.2430533002864,0.05849651800511673,0.011882040529241673,0.039114514295397716,0.08661693589363335
eversex,MOZ2009AIS,CY2009Q3,MOZ,Mozambique,all,female,Y020_024,262,1106,602.4669177284238,0.9855235217490833,0.003928775900766995,0.975419621372988,0.9915103065602116
