indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
eversex,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y015_024,521,5213,3758.5593556447348,0.7577327051286535,0.008287490031773507,0.7411215421384507,0.7736035981864966
sex12m,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y015_024,521,5230,3771.4373012190586,0.683215612047054,0.00934592148172261,0.664620700647333,0.7012429822240235
sexcohab,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y015_024,521,5230,3771.4373012190586,0.5868467510488505,0.011158115368848517,0.5648196292161449,0.6085316858320307
sexnonreg,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y015_024,521,5230,3771.4373012190586,0.09636886099820349,0.006371982632790753,0.08458247531712058,0.109601012142757
sexnonregplus,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y015_024,521,5230,3771.4373012190586,0.09636886099820349,0.006371982632790753,0.08458247531712058,0.109601012142757
sexpaid12m,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y015_024,521,5230,3771.4373012190586,0,0,,
sti12m,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y015_024,521,5222,3765.1882939702377,0.06797169293993124,0.004383394073726992,0.059867621462494545,0.07708283807720914
eversex,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y015_019,501,2407,1766.4052068615501,0.5222887876028207,0.013616974883032276,0.4955617647687002,0.5488887903021076
sex12m,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y015_019,501,2407,1766.4052068615501,0.4578002457641734,0.013193107644769771,0.4320785629047164,0.48374887243090114
sexcohab,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y015_019,501,2407,1766.4052068615501,0.32993539229683516,0.012962956659209355,0.30504237258129296,0.3558197300156562
sexnonreg,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y015_019,501,2407,1766.4052068615501,0.12786485346733822,0.008972500049120738,0.11128633048271502,0.14650596900209636
sexnonregplus,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y015_019,501,2407,1766.4052068615501,0.12786485346733822,0.008972500049120738,0.11128633048271502,0.14650596900209636
sexpaid12m,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y015_019,501,2407,1766.4052068615501,0,0,,
sti12m,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y015_019,501,2404,1764.2286994648114,0.04047537956189878,0.004781190483131909,0.03207639216441527,0.05095780410101992
eversex,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y020_024,510,2806,1994.9070433256209,0.9551839734238945,0.005057717134453249,0.9441580488012076,0.9641155856598226
sex12m,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y020_024,510,2823,2007.7404526062408,0.8711457780352395,0.008210753478122489,0.8541792740187191,0.8864007366319145
sexcohab,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y020_024,510,2823,2007.7404526062408,0.8010353180959022,0.01106514936382881,0.7784580089877443,0.8218383607990454
sexnonreg,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y020_024,510,2823,2007.7404526062408,0.0701104599393372,0.006914540112459202,0.05771088223513766,0.08493403769928098
sexnonregplus,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y020_024,510,2823,2007.7404526062408,0.0701104599393372,0.006914540112459202,0.05771088223513766,0.08493403769928098
sexpaid12m,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y020_024,510,2823,2007.7404526062408,0,0,,
sti12m,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y020_024,510,2818,2003.6799929053725,0.09090995818103416,0.006387259571713384,0.07914282891188716,0.10422862311380197
eversex,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y025_029,499,2123,1478.6026874849904,0.9864850238266538,0.0034148057113592843,0.9778678756184314,0.9917753023480643
sex12m,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y025_029,500,2135,1487.363466751817,0.8999321468560606,0.00792425296196964,0.8832945457784397,0.9144276644345896
sexcohab,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y025_029,500,2135,1487.363466751817,0.8508997685312182,0.010436407420681998,0.8292677937485321,0.8702198800161417
sexnonreg,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y025_029,500,2135,1487.363466751817,0.049032378324842356,0.0059834157514160385,0.03854930224803237,0.06218184326467331
sexnonregplus,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y025_029,500,2135,1487.363466751817,0.049032378324842356,0.0059834157514160385,0.03854930224803237,0.06218184326467331
sexpaid12m,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y025_029,500,2135,1487.363466751817,0,0,,
sti12m,MWI2004DHS,CY2004Q4,MWI,Malawi,all,female,Y025_029,500,2128,1485.352591505239,0.08315404625959785,0.007869566361412282,0.06897413799527424,0.09993619064489635
eversex,MWI2004DHS,CY2004Q4,MWI_1_1,Northern,all,female,Y015_024,59,756,640.9360735035932,0.6825971290827636,0.0198512660403642,0.6424816867181952,0.7201718558730574
sex12m,MWI2004DHS,CY2004Q4,MWI_1_1,Northern,all,female,Y015_024,59,760,643.851944452633,0.5768831601780585,0.023730308504426922,0.5298255166631598,0.6225859695813281
sexcohab,MWI2004DHS,CY2004Q4,MWI_1_1,Northern,all,female,Y015_024,59,760,643.851944452633,0.5102753317844502,0.02451597958407771,0.4622778548413894,0.5580840985838608
sexnonreg,MWI2004DHS,CY2004Q4,MWI_1_1,Northern,all,female,Y015_024,59,760,643.851944452633,0.06660782839360828,0.012121396520867399,0.04643591264240758,0.09467250178495068
sexnonregplus,MWI2004DHS,CY2004Q4,MWI_1_1,Northern,all,female,Y015_024,59,760,643.851944452633,0.06660782839360828,0.012121396520867399,0.04643591264240758,0.09467250178495068
sexpaid12m,MWI2004DHS,CY2004Q4,MWI_1_1,Northern,all,female,Y015_024,59,760,643.851944452633,0,0,,
sti12m,MWI2004DHS,CY2004Q4,MWI_1_1,Northern,all,female,Y015_024,59,760,643.851944452633,0.02806223410376749,0.008554200709452104,0.015374180192474943,0.05068253130699582
eversex,MWI2004DHS,CY2004Q4,MWI_1_1,Northern,all,female,Y015_019,58,383,323.4296723067351,0.43962398908501715,0.03057167195506545,0.38085702525778703,0.5001339374280271
