indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
eversex,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y015_024,532,3551,2693.1650715884807,0.6693163078580209,0.011570560883155546,0.6462585813260275,0.6915883272832003
sex12m,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y015_024,532,3561,2701.264342567984,0.5777018135410265,0.010850442386833093,0.5563039500821574,0.5988119375558025
sexcohab,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y015_024,532,3561,2701.264342567984,0.10840220940185682,0.007770634523695584,0.09408512967406914,0.12459829245943382
sexnonreg,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y015_024,532,3561,2701.264342567984,0.46929960413916966,0.010444432945806496,0.44889187520177126,0.4898105270299697
sexnonregplus,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y015_024,532,3561,2701.264342567984,0.46929960413916966,0.010444432945806496,0.44889187520177126,0.4898105270299697
sexpaid12m,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y015_024,532,3561,2701.264342567984,0,0,,
sti12m,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y015_024,532,3572,2709.591709352948,0.07667256696247711,0.005315188365716646,0.0668825124771245,0.08776088020657906
eversex,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y015_019,486,1850,1437.5087461262387,0.448206706546253,0.01596250402270879,0.41716553622696684,0.4796567686163455
sex12m,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y015_019,487,1852,1438.79663796174,0.37891102018753375,0.01437278397941548,0.3511759944228946,0.4074608934076166
sexcohab,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y015_019,487,1852,1438.79663796174,0.04383624016161225,0.00664937469925633,0.03250240615162003,0.058881737709357174
sexnonreg,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y015_019,487,1852,1438.79663796174,0.3350747800259215,0.01324728425258598,0.30962844357587666,0.36151727919725507
sexnonregplus,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y015_019,487,1852,1438.79663796174,0.3350747800259215,0.01324728425258598,0.30962844357587666,0.36151727919725507
sexpaid12m,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y015_019,487,1852,1438.79663796174,0,0,,
sti12m,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y015_019,487,1855,1441.1164048057037,0.04760690158842784,0.005673696084445481,0.03764218931852793,0.060044905016808946
eversex,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y020_024,506,1701,1258.1346109058625,0.9070709610317921,0.010118962142366988,0.8852486618183668,0.9250944559290765
sex12m,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y020_024,506,1709,1264.9372979317252,0.7905414125049228,0.012418145954918922,0.7651642058248219,0.8138434524260729
sexcohab,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y020_024,506,1709,1264.9372979317252,0.1775311402139209,0.01234857933811997,0.15460620384138013,0.20303896295889673
sexnonreg,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y020_024,506,1709,1264.9372979317252,0.6130102722910019,0.015818601215964588,0.5815869903928982,0.6435201301163326
sexnonregplus,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y020_024,506,1709,1264.9372979317252,0.6130102722910019,0.015818601215964588,0.5815869903928982,0.6435201301163326
sexpaid12m,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y020_024,506,1709,1264.9372979317252,0,0,,
sti12m,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y020_024,506,1717,1270.7743233626172,0.10776819289960077,0.00918104613055911,0.09104963327445441,0.12712726270993835
eversex,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y025_029,493,1468,1070.1060688682765,0.9814294587837592,0.0041919481295522015,0.9711574624065064,0.9880880523895917
sex12m,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y025_029,495,1481,1079.68525416787,0.8743046981614175,0.009609326139333475,0.8542322591564178,0.8919627038467518
sexcohab,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y025_029,495,1481,1079.68525416787,0.3518870664386508,0.016348163825485516,0.3205489089599729,0.3845549540105884
sexnonreg,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y025_029,495,1481,1079.68525416787,0.5220711697677359,0.01755258884821562,0.4876184462852251,0.5563151701779356
sexnonregplus,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y025_029,495,1481,1079.68525416787,0.5224176317227667,0.01755311486881699,0.4879622276638935,0.5566610105372168
sexpaid12m,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y025_029,495,1481,1079.68525416787,3.464619550308127e-4,3.4698798685079443e-4,4.864022120769124e-5,0.0024633395966240264
sti12m,NAM2013DHS,CY2013Q3,NAM,Namibia,all,female,Y025_029,496,1493,1088.253129774312,0.10895837986293391,0.009149046813659235,0.0922786627524108,0.12822712302682632
eversex,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y015_024,47,262,243.17263895153488,0.6821932260476552,0.03358751957625899,0.6130691704006496,0.7441225111678758
sex12m,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y015_024,47,262,243.17263895153488,0.6110018187993921,0.034727669159946344,0.5411942176863928,0.6765363229409631
sexcohab,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y015_024,47,262,243.17263895153488,0.10967948283007684,0.02440308881295983,0.07018690464511373,0.16739311497156995
sexnonreg,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y015_024,47,262,243.17263895153488,0.5013223359693153,0.03180380904120022,0.4392886161270805,0.5633153735041695
sexnonregplus,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y015_024,47,262,243.17263895153488,0.5013223359693153,0.03180380904120022,0.4392886161270805,0.5633153735041695
sexpaid12m,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y015_024,47,262,243.17263895153488,0,0,,
sti12m,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y015_024,47,263,243.84481958261185,0.12742339162349006,0.025127277878737895,0.08573408892493134,0.18527652903189443
eversex,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y015_019,42,120,110.70103162891877,0.3603727452931374,0.04696170937749537,0.2742711268182897,0.4565017322988701
sex12m,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y015_019,42,120,110.70103162891877,0.29505089552614966,0.04314040917550973,0.2179771454576598,0.38592791204692545
sexcohab,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y015_019,42,120,110.70103162891877,0.015664285743679278,0.010889428951767246,0.003970893623728764,0.05972722619325624
sexnonreg,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y015_019,42,120,110.70103162891877,0.2793866097824704,0.04146714806183201,0.20567542090461122,0.3672994823525464
sexnonregplus,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y015_019,42,120,110.70103162891877,0.2793866097824704,0.04146714806183201,0.20567542090461122,0.3672994823525464
sexpaid12m,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y015_019,42,120,110.70103162891877,0,0,,
sti12m,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y015_019,42,120,110.70103162891877,0.04709734661257467,0.02011491068145141,0.020119235796524908,0.10632538890117033
eversex,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y020_024,45,142,132.48044132969804,0.947870442620996,0.018467119079490463,0.8973365293900989,0.9742440668870845
sex12m,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y020_024,45,142,132.48044132969804,0.8718334528588843,0.0285793171153434,0.8047066078734906,0.9182317618562565
sexcohab,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y020_024,45,142,132.48044132969804,0.18729323761332495,0.0394490219373535,0.12178293993879381,0.27693101434769174
sexnonreg,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y020_024,45,142,132.48044132969804,0.6845402152455593,0.04517341622609667,0.5901806492883487,0.7657954377460906
sexnonregplus,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y020_024,45,142,132.48044132969804,0.6845402152455593,0.04517341622609667,0.5901806492883487,0.7657954377460906
sexpaid12m,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y020_024,45,142,132.48044132969804,0,0,,
sti12m,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y020_024,45,143,133.1501566020651,0.1935241335302486,0.0396851233071373,0.12723408594892674,0.2831469797074028
eversex,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y025_029,43,120,112.3164963225245,0.99403452697907,0.005911247090376986,0.9593781901243613,0.999150138495437
sex12m,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y025_029,43,120,112.3164963225245,0.9055968402003319,0.025020084821097317,0.8438834246961274,0.9445186230200012
sexcohab,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y025_029,43,120,112.3164963225245,0.40420905243342325,0.04321018967308691,0.32308574868753326,0.49092888285511266
sexnonreg,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y025_029,43,120,112.3164963225245,0.5013877877669086,0.04161145954065822,0.4205102314875413,0.5821927864919005
sexnonregplus,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y025_029,43,120,112.3164963225245,0.5013877877669086,0.04161145954065822,0.4205102314875413,0.5821927864919005
sexpaid12m,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y025_029,43,120,112.3164963225245,0,0,,
sti12m,NAM2013DHS,CY2013Q3,NAM_1_01,!Karas,all,female,Y025_029,43,122,113.93252602209317,0.10806337029960558,0.03132626718041463,0.06021756506189026,0.1863853976518824
eversex,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y015_024,53,310,285.41001626013946,0.6904636515493439,0.033799673911076425,0.6206542340827729,0.7525482625972265
sex12m,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y015_024,53,310,285.41001626013946,0.6248542873524864,0.03390194363011356,0.5564440191553913,0.6886178158089012
sexcohab,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y015_024,53,310,285.41001626013946,0.1427076084845358,0.024035513420221897,0.10174004460544764,0.19656172341252093
sexnonreg,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y015_024,53,310,285.41001626013946,0.4821466788679506,0.037295688465309944,0.40994088786878274,0.5551058514461915
sexnonregplus,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y015_024,53,310,285.41001626013946,0.4821466788679506,0.037295688465309944,0.40994088786878274,0.5551058514461915
sexpaid12m,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y015_024,53,310,285.41001626013946,0,0,,
sti12m,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y015_024,53,312,287.38302359342214,0.11939183449771403,0.017943849859027344,0.08844993286946581,0.15926673758978005
eversex,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y015_019,46,135,122.32690665729113,0.41027743539180284,0.053864109535421645,0.3102061407390907,0.518371366778587
sex12m,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y015_019,46,135,122.32690665729113,0.3477070237956791,0.05305892932865977,0.2520619513639601,0.4574477094205212
sexcohab,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y015_019,46,135,122.32690665729113,0.06555793339993726,0.03874891239565954,0.0199035365199788,0.19508878272134425
sexnonreg,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y015_019,46,135,122.32690665729113,0.2821490903957418,0.04813797215774932,0.1978714231660635,0.3850894685466723
sexnonregplus,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y015_019,46,135,122.32690665729113,0.2821490903957418,0.04813797215774932,0.1978714231660635,0.3850894685466723
sexpaid12m,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y015_019,46,135,122.32690665729113,0,0,,
sti12m,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y015_019,46,135,122.32690665729113,0.06189019430072093,0.01734858674174297,0.03542898255007077,0.1059440491526135
eversex,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y020_024,49,175,163.08520010393087,0.9017777007971177,0.02450573464482022,0.8422248950646305,0.9404416497223621
sex12m,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y020_024,49,175,163.08520010393087,0.8338763845251731,0.02978119200670505,0.7670966581882297,0.8843941923661454
sexcohab,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y020_024,49,175,163.08520010393087,0.20089323397265754,0.03535745342517145,0.14034855424958473,0.27907713647451204
sexnonreg,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y020_024,49,175,163.08520010393087,0.6329831505525155,0.04129803619739394,0.5489970142882317,0.7096022458819279
sexnonregplus,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y020_024,49,175,163.08520010393087,0.6329831505525155,0.04129803619739394,0.5489970142882317,0.7096022458819279
sexpaid12m,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y020_024,49,175,163.08520010393087,0,0,,
sti12m,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y020_024,49,177,165.05925538358858,0.16229245498798073,0.030595742845179425,0.11082417597768084,0.23144176031853247
eversex,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y025_029,47,137,122.37837291468996,0.993513414583158,0.006380708269807361,0.956517942986591,0.999063169975168
sex12m,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y025_029,47,138,123.26339453784391,0.911858414267112,0.02548428040085798,0.8474942415045196,0.9506401787505137
sexcohab,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y025_029,47,138,123.26339453784391,0.3495471672430668,0.047100467567436854,0.2636555910000979,0.44645454732461876
sexnonreg,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y025_029,47,138,123.26339453784391,0.5623112470240452,0.04672978783485474,0.46964067508369767,0.6508282372092018
sexnonregplus,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y025_029,47,138,123.26339453784391,0.5623112470240452,0.04672978783485474,0.46964067508369767,0.6508282372092018
sexpaid12m,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y025_029,47,138,123.26339453784391,0,0,,
sti12m,NAM2013DHS,CY2013Q3,NAM_1_02,Erongo,all,female,Y025_029,47,141,125.90170242179926,0.11775685087057179,0.028871940586430552,0.0718551168659928,0.1870710000671087
eversex,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y015_024,38,214,203.23307130461436,0.6668318445909779,0.03925790168079131,0.5860248847932239,0.738893370640652
sex12m,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y015_024,38,215,204.14819412641504,0.5751211040922962,0.04159022015455448,0.49229687374680203,0.6539319488629617
sexcohab,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y015_024,38,215,204.14819412641504,0.1539547466209525,0.025543518826110192,0.11024140396876804,0.21089306443324457
sexnonreg,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y015_024,38,215,204.14819412641504,0.4211663574713437,0.0424321893593612,0.3409350894194824,0.5057886152011224
sexnonregplus,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y015_024,38,215,204.14819412641504,0.4211663574713437,0.0424321893593612,0.3409350894194824,0.5057886152011224
sexpaid12m,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y015_024,38,215,204.14819412641504,0,0,,
sti12m,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y015_024,38,215,204.14819412641504,0.11951505657047284,0.023784769815050684,0.08017075843403379,0.17450472363688438
eversex,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y015_019,31,101,95.86203097538275,0.37796724407064647,0.05573105042434471,0.276321173700787,0.49160413588158497
sex12m,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y015_019,32,102,96.7773042682381,0.305181383683197,0.04941207660537467,0.21764108523432477,0.409502412107793
sexcohab,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y015_019,32,102,96.7773042682381,0.04364268125481006,0.019052873276696088,0.018310596643859586,0.10043532247460214
sexnonreg,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y015_019,32,102,96.7773042682381,0.261538702428387,0.04794677470308464,0.17879179695922245,0.36553545035397095
sexnonregplus,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y015_019,32,102,96.7773042682381,0.261538702428387,0.04794677470308464,0.17879179695922245,0.36553545035397095
sexpaid12m,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y015_019,32,102,96.7773042682381,0,0,,
sti12m,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y015_019,32,102,96.7773042682381,0.03837469482164749,0.018543802906767166,0.014684989367553601,0.09653622449769597
eversex,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y020_024,38,113,107.37104769480302,0.924831650255697,0.02646963320369166,0.8536608929374372,0.9628936717899097
sex12m,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y020_024,38,113,107.37104769480302,0.8179991825059753,0.03685625492728118,0.7345119478144917,0.8795381561877571
sexcohab,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y020_024,38,113,107.37104769480302,0.2532079518230933,0.04228790127157415,0.17947749110171796,0.34451003017261445
sexnonreg,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y020_024,38,113,107.37104769480302,0.564791230682882,0.05754632597495947,0.4506042471245052,0.6724947497546544
sexnonregplus,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y020_024,38,113,107.37104769480302,0.564791230682882,0.05754632597495947,0.4506042471245052,0.6724947497546544
sexpaid12m,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y020_024,38,113,107.37104769480302,0,0,,
sti12m,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y020_024,38,113,107.37104769480302,0.19252104143805293,0.036400952594724104,0.1309429773347838,0.27392951149718187
eversex,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y025_029,38,101,96.48760087281339,0.9699844172059274,0.01710282424738412,0.9108632631620159,0.9903098256967999
sex12m,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y025_029,38,101,96.48760087281339,0.8078999606891772,0.03485062772562313,0.7303303707911176,0.8672137220114587
sexcohab,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y025_029,38,101,96.48760087281339,0.47118162954314236,0.05691252299422236,0.3628363713098186,0.5823120296260315
sexnonreg,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y025_029,38,101,96.48760087281339,0.3367183311460349,0.05070458111396348,0.24546954223861459,0.44201625516296794
sexnonregplus,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y025_029,38,101,96.48760087281339,0.3367183311460349,0.05070458111396348,0.24546954223861459,0.44201625516296794
sexpaid12m,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y025_029,38,101,96.48760087281339,0,0,,
sti12m,NAM2013DHS,CY2013Q3,NAM_1_03,Hardap,all,female,Y025_029,38,101,96.48760087281339,0.09219466147911264,0.026703263399401857,0.051540828986642535,0.15952171848240287
eversex,NAM2013DHS,CY2013Q3,NAM_1_04,Kavango East,all,female,Y015_024,21,203,195.28380646213543,0.8389675001066346,0.02869544678941746,0.7745649799199291,0.8876403663616205
sex12m,NAM2013DHS,CY2013Q3,NAM_1_04,Kavango East,all,female,Y015_024,21,203,195.28380646213543,0.6274761820170783,0.033238477085042906,0.56037993107387,0.6899970150995112
