indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
eversex,SWZ2006DHS,CY2006Q4,SWZ,Eswatini,all,female,Y015_024,272,2286,2039.8088245772517,0.6321080870952428,0.013302919844646544,0.6056709462454801,0.6577742822478608
sex12m,SWZ2006DHS,CY2006Q4,SWZ,Eswatini,all,female,Y015_024,272,2292,2045.4888324480137,0.5537675812257707,0.014328906641763305,0.5255413328257695,0.5816513252723002
sexcohab,SWZ2006DHS,CY2006Q4,SWZ,Eswatini,all,female,Y015_024,272,2292,2045.4888324480137,0.17373175852040054,0.011001862965381793,0.1532127202083526,0.19636157479956362
sexnonreg,SWZ2006DHS,CY2006Q4,SWZ,Eswatini,all,female,Y015_024,272,2292,2045.4888324480137,0.3800358227053702,0.01236721303502383,0.35611288070045816,0.40455611724963586
sexnonregplus,SWZ2006DHS,CY2006Q4,SWZ,Eswatini,all,female,Y015_024,272,2292,2045.4888324480137,0.3800358227053702,0.01236721303502383,0.35611288070045816,0.40455611724963586
sexpaid12m,SWZ2006DHS,CY2006Q4,SWZ,Eswatini,all,female,Y015_024,272,2292,2045.4888324480137,0,0,,
sti12m,SWZ2006DHS,CY2006Q4,SWZ,Eswatini,all,female,Y015_024,272,2289,2042.95152116452,0.082111864522615,0.0063559337113681365,0.07048405975517709,0.0954609131906588
eversex,SWZ2006DHS,CY2006Q4,SWZ,Eswatini,all,female,Y015_019,257,1265,1143.0737771886015,0.41399913430898605,0.017787328349086588,0.3796206161503997,0.4492365195450616
sex12m,SWZ2006DHS,CY2006Q4,SWZ,Eswatini,all,female,Y015_019,257,1265,1143.0737771886015,0.3541061614646482,0.01701818493819712,0.32150259210519727,0.3881247208812297
sexcohab,SWZ2006DHS,CY2006Q4,SWZ,Eswatini,all,female,Y015_019,257,1265,1143.0737771886015,0.06299616917062441,0.008048167872451934,0.04894632743877147,0.08073659606019039
sexnonreg,SWZ2006DHS,CY2006Q4,SWZ,Eswatini,all,female,Y015_019,257,1265,1143.0737771886015,0.2911099922940238,0.015795424175859583,0.26114667193751534,0.3230082579985542
sexnonregplus,SWZ2006DHS,CY2006Q4,SWZ,Eswatini,all,female,Y015_019,257,1265,1143.0737771886015,0.2911099922940238,0.015795424175859583,0.26114667193751534,0.3230082579985542
sexpaid12m,SWZ2006DHS,CY2006Q4,SWZ,Eswatini,all,female,Y015_019,257,1265,1143.0737771886015,0,0,,
sti12m,SWZ2006DHS,CY2006Q4,SWZ,Eswatini,all,female,Y015_019,256,1264,1142.4945217605134,0.04481111991328712,0.00607014899085093,0.03430998614146777,0.0583321546719768
eversex,SWZ2006DHS,CY2006Q4,SWZ,Eswatini,all,female,Y020_024,264,1021,897.5317263359399,0.8990677671133419,0.010068082256009036,0.8775522952265863,0.9171596012198219
