indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
eversex,TZA2012AIS,CY2012Q1,TZA,United Republic of Tanzania,all,female,Y015_024,583,4389,2695.9353026043113,0.6646668525417168,0.010899773173731678,0.6429779747676353,0.68568224180077
sex12m,TZA2012AIS,CY2012Q1,TZA,United Republic of Tanzania,all,female,Y015_024,583,4397,2701.371304892364,0.5972632363170256,0.012335091975982239,0.5728689592508964,0.621185577196075
sexcohab,TZA2012AIS,CY2012Q1,TZA,United Republic of Tanzania,all,female,Y015_024,583,4397,2701.371304892364,0.37568651429285993,0.01259343964159429,0.3513447318796525,0.4006730267928699
sexnonreg,TZA2012AIS,CY2012Q1,TZA,United Republic of Tanzania,all,female,Y015_024,583,4397,2701.371304892364,0.22140055214876317,0.009841017562338877,0.20271449949482975,0.2412877885889528
sexpaid12m,TZA2012AIS,CY2012Q1,TZA,United Republic of Tanzania,all,female,Y015_024,583,4397,2701.371304892364,1.7616987540244346e-4,1.763381098914202e-4,2.476468904731735e-5,0.0012520699277159258
sti12m,TZA2012AIS,CY2012Q1,TZA,United Republic of Tanzania,all,female,Y015_024,583,4401,2704.5263656569355,0.056033233570166305,0.004856316574758223,0.04724115705274354,0.06634766050299197
eversex,TZA2012AIS,CY2012Q1,TZA,United Republic of Tanzania,all,female,Y015_019,563,2471,1525.3544970111802,0.4715265973973963,0.01513871730674881,0.44199028472543755,0.5012636316018239
sex12m,TZA2012AIS,CY2012Q1,TZA,United Republic of Tanzania,all,female,Y015_019,563,2474,1527.3211034127319,0.4225644160308475,0.015685944983720404,0.39215741701979184,0.4535698057795741
sexcohab,TZA2012AIS,CY2012Q1,TZA,United Republic of Tanzania,all,female,Y015_019,563,2474,1527.3211034127319,0.21146938825804862,0.014010449115819518,0.18531138400475675,0.24023098773156534
sexnonreg,TZA2012AIS,CY2012Q1,TZA,United Republic of Tanzania,all,female,Y015_019,563,2474,1527.3211034127319,0.21078128837246188,0.011861178464003337,0.1884718026601712,0.23496695435308773
sexpaid12m,TZA2012AIS,CY2012Q1,TZA,United Republic of Tanzania,all,female,Y015_019,563,2474,1527.3211034127319,0.00031373940033697283,3.1383974423500316e-4,4.415146862344279e-5,0.002225761545882157
sti12m,TZA2012AIS,CY2012Q1,TZA,United Republic of Tanzania,all,female,Y015_019,563,2474,1527.0471183670502,0.03824524042898787,0.005502394857426773,0.02880617149357162,0.05061606211649168
eversex,TZA2012AIS,CY2012Q1,TZA,United Republic of Tanzania,all,female,Y020_024,553,1918,1170.7469789573158,0.9123568613525483,0.008428492500215884,0.8943688543072029,0.9275298855337631
sex12m,TZA2012AIS,CY2012Q1,TZA,United Republic of Tanzania,all,female,Y020_024,554,1923,1174.2120406451181,0.820980439799532,0.01222002002764994,0.7957665354242824,0.8436929584556268
sexcohab,TZA2012AIS,CY2012Q1,TZA,United Republic of Tanzania,all,female,Y020_024,554,1923,1174.2120406451181,0.5859809864607922,0.017285225677849077,0.5517471454481412,0.6194038151731917
