indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
eversex,UGA2016DHS,CY2016Q3,UGA,Uganda,all,female,Y015_024,696,8048,6082.4459780698135,0.6761676261178341,0.007838424568297841,0.6606187862563772,0.6913369366921991
sex12m,UGA2016DHS,CY2016Q3,UGA,Uganda,all,female,Y015_024,696,8058,6090.502104131157,0.6019445537418772,0.00832649647791144,0.5855172083183964,0.6181454347417507
sexcohab,UGA2016DHS,CY2016Q3,UGA,Uganda,all,female,Y015_024,696,8058,6090.502104131157,0.4065852522141501,0.008139274173309896,0.39073623220079456,0.422631198303304
sexnonreg,UGA2016DHS,CY2016Q3,UGA,Uganda,all,female,Y015_024,696,8058,6090.502104131157,0.16800151597923518,0.005714280685917206,0.1570976271681622,0.179501056312203
sexpaid12m,UGA2016DHS,CY2016Q3,UGA,Uganda,all,female,Y015_024,696,8058,6090.502104131157,0.027357785548491817,0.0022103166393753295,0.02334340848851143,0.032039869407458746
sti12m,UGA2016DHS,CY2016Q3,UGA,Uganda,all,female,Y015_024,696,8057,6089.570095856045,0.1557802473026264,0.005594278449302021,0.14512754994268826,0.16706206933789655
eversex,UGA2016DHS,CY2016Q3,UGA,Uganda,all,female,Y015_019,690,4275,3295.7904907989496,0.45666716222952514,0.010720479686089116,0.4357446861928749,0.47774366389680745
sex12m,UGA2016DHS,CY2016Q3,UGA,Uganda,all,female,Y015_019,690,4276,3295.952973360511,0.38572421024471837,0.01062666946454118,0.36511659655741413,0.4067497689758079
sexcohab,UGA2016DHS,CY2016Q3,UGA,Uganda,all,female,Y015_019,690,4276,3295.952973360511,0.19591853388118274,0.008050496886745298,0.18061862578331345,0.21217886504253936
sexnonreg,UGA2016DHS,CY2016Q3,UGA,Uganda,all,female,Y015_019,690,4276,3295.952973360511,0.15689344281824352,0.007643042084568548,0.14248846477817903,0.17246181698887353
sexpaid12m,UGA2016DHS,CY2016Q3,UGA,Uganda,all,female,Y015_019,690,4276,3295.952973360511,0.0329122335452921,0.003246172114792162,0.02711081993869014,0.039904166068303555
sti12m,UGA2016DHS,CY2016Q3,UGA,Uganda,all,female,Y015_019,690,4275,3295.011245567977,0.08691376156409147,0.005633640252949978,0.0764880584158385,0.09860880339014783
eversex,UGA2016DHS,CY2016Q3,UGA,Uganda,all,female,Y020_024,687,3773,2791.126739322776,0.9216563646725626,0.006067238607270382,0.9089083418671339,0.932752334374129
sex12m,UGA2016DHS,CY2016Q3,UGA,Uganda,all,female,Y020_024,688,3782,2798.967230468817,0.8431868516535326,0.007788124722020994,0.8273110498383084,0.8578539128689475
sexcohab,UGA2016DHS,CY2016Q3,UGA,Uganda,all,female,Y020_024,688,3782,2798.967230468817,0.6416312354096229,0.011224642304612483,0.6193463605363421,0.6633206785267308
sexnonreg,UGA2016DHS,CY2016Q3,UGA,Uganda,all,female,Y020_024,688,3782,2798.967230468817,0.18039506346596199,0.007954663327888403,0.165326025417199,0.1965142298255215
sexpaid12m,UGA2016DHS,CY2016Q3,UGA,Uganda,all,female,Y020_024,688,3782,2798.967230468817,0.02116055277794773,0.0027256174916648166,0.01642898529645864,0.027217109189065395
sti12m,UGA2016DHS,CY2016Q3,UGA,Uganda,all,female,Y020_024,688,3782,2798.967230468817,0.23259857573894746,0.00912152594510545,0.21520119834771811,0.2509526638878925
eversex,UGA2016DHS,CY2016Q3,UGA,Uganda,all,female,Y025_029,686,2991,2223.7217838293573,0.9861196397928024,0.0025633574049830623,0.9800866643193327,0.990342865088022
sex12m,UGA2016DHS,CY2016Q3,UGA,Uganda,all,female,Y025_029,687,3014,2240.191418900491,0.8948200383245337,0.00645318471203321,0.8814845339973636,0.9068136440918698
sexcohab,UGA2016DHS,CY2016Q3,UGA,Uganda,all,female,Y025_029,687,3014,2240.191418900491,0.7557033889226547,0.010115764570212573,0.7353371503299432,0.774981990397473
sexnonreg,UGA2016DHS,CY2016Q3,UGA,Uganda,all,female,Y025_029,687,3014,2240.191418900491,0.13891170525720314,0.0077545947168109995,0.12439838762317663,0.15481887428502814
sexpaid12m,UGA2016DHS,CY2016Q3,UGA,Uganda,all,female,Y025_029,687,3014,2240.191418900491,2.049441446760163e-4,2.0500672567977466e-4,2.8845362539296126e-5,0.0014545490415239781
sti12m,UGA2016DHS,CY2016Q3,UGA,Uganda,all,female,Y025_029,687,3014,2240.191418900491,0.2678843016343169,0.010206909477706728,0.24835836234042238,0.2883564403448761
eversex,UGA2016DHS,CY2016Q3,UGA_1_09,Central 1,all,female,Y015_024,68,685,502.8864320972761,0.6875136502490042,0.02609382832868138,0.6342441580576197,0.7362511200825771
sex12m,UGA2016DHS,CY2016Q3,UGA_1_09,Central 1,all,female,Y015_024,68,686,503.6667627008452,0.6009520925246313,0.027076272133746408,0.5468963775289412,0.6526547377174351
sexcohab,UGA2016DHS,CY2016Q3,UGA_1_09,Central 1,all,female,Y015_024,68,686,503.6667627008452,0.36470612243563233,0.026820619798955257,0.3139154144185818,0.41869952389392834
sexnonreg,UGA2016DHS,CY2016Q3,UGA_1_09,Central 1,all,female,Y015_024,68,686,503.6667627008452,0.2130909833785648,0.018181581499811784,0.17962227758720156,0.2508887046000653
sexpaid12m,UGA2016DHS,CY2016Q3,UGA_1_09,Central 1,all,female,Y015_024,68,686,503.6667627008452,0.023154986710434203,0.006152921304903003,0.013717371728358768,0.03883008913228101
sti12m,UGA2016DHS,CY2016Q3,UGA_1_09,Central 1,all,female,Y015_024,68,686,503.6667627008452,0.20928853256018246,0.019430392323157623,0.17374057506152146,0.24990987229390646
eversex,UGA2016DHS,CY2016Q3,UGA_1_09,Central 1,all,female,Y015_019,65,320,248.4823191785932,0.4576227211749247,0.04124406039777875,0.37857435525168137,0.5388640117255823
sex12m,UGA2016DHS,CY2016Q3,UGA_1_09,Central 1,all,female,Y015_019,65,320,248.4823191785932,0.3949810864924415,0.03887964928667754,0.3218462044265626,0.47314003703257024
sexcohab,UGA2016DHS,CY2016Q3,UGA_1_09,Central 1,all,female,Y015_019,65,320,248.4823191785932,0.16005719821248734,0.025569718504805276,0.11602946517473868,0.21669597798209583
sexnonreg,UGA2016DHS,CY2016Q3,UGA_1_09,Central 1,all,female,Y015_019,65,320,248.4823191785932,0.2065158941301763,0.030288022932105262,0.1533814993768586,0.2721403414027957
sexpaid12m,UGA2016DHS,CY2016Q3,UGA_1_09,Central 1,all,female,Y015_019,65,320,248.4823191785932,0.028407994149777894,0.010815256929771977,0.013383431684850839,0.059285955010706666
sti12m,UGA2016DHS,CY2016Q3,UGA_1_09,Central 1,all,female,Y015_019,65,320,248.4823191785932,0.11015615629609975,0.023004288022817707,0.0724854842772422,0.16394382896012558
eversex,UGA2016DHS,CY2016Q3,UGA_1_09,Central 1,all,female,Y020_024,65,365,255.23243337399438,0.8938558839988415,0.018042909874755195,0.8529614391089864,0.9243850113031533
sex12m,UGA2016DHS,CY2016Q3,UGA_1_09,Central 1,all,female,Y020_024,65,366,255.99411276279648,0.7854548181019929,0.025217830249702998,0.7319306463849103,0.8307630945191999
