indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
eversex,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,female,Y015_024,633,2907,1833.7606421671003,0.6691721833941796,0.012226906290419772,0.644785101845563,0.6926829782930941
sex12m,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,female,Y015_024,634,2913,1837.6830450870252,0.618384244371095,0.012389761358836097,0.5938232239711543,0.6423545747751961
sexcohab,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,female,Y015_024,634,2913,1837.6830450870252,0.09787397430061058,0.009628859392789763,0.08055612329309607,0.11843523207264754
sexnonreg,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,female,Y015_024,634,2913,1837.6830450870252,0.5121300344225687,0.012288893819746799,0.4880347264596535,0.5361691007712115
sexnonregplus,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,female,Y015_024,634,2913,1837.6830450870252,0.5205102700704843,0.012201924690219764,0.4965661970618835,0.5443604825403588
sexpaid12m,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,female,Y015_024,634,2913,1837.6830450870252,0.008380235647915669,0.001897726650426518,0.00537261372403712,0.013049452815276535
sti12m,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,female,Y015_024,634,2913,1837.6830450870252,0.0920380917140358,0.006759499443119675,0.07961894473728563,0.10617094319244098
eversex,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,female,Y015_019,543,1504,954.3342198797152,0.43318339904076064,0.017034719475552015,0.4001470054346328,0.4668246667527889
sex12m,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,female,Y015_019,544,1505,954.9009328415812,0.4031495391007548,0.01680088717569292,0.37070110622069535,0.4364682991562136
sexcohab,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,female,Y015_019,544,1505,954.9009328415812,0.0240034196258082,0.0055697278503155125,0.015198615083963274,0.037713653040996636
sexnonreg,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,female,Y015_019,544,1505,954.9009328415812,0.37468572872111156,0.016002518660366515,0.3438840609401126,0.4065368519867511
sexnonregplus,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,female,Y015_019,544,1505,954.9009328415812,0.3791461194749466,0.016040928361540703,0.3482510815146671,0.4110533723387951
sexpaid12m,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,female,Y015_019,544,1505,954.9009328415812,0.004460390753835049,0.0017363585290956838,0.0020776261897497406,0.009549722516945811
sti12m,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,female,Y015_019,544,1505,954.9009328415812,0.05467778094121624,0.006626697703494042,0.04305174996832376,0.06921630924132328
eversex,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,female,Y020_024,543,1403,881.6072248372865,0.9076063612270387,0.009936397358859244,0.8862012374344771,0.9253245294027219
sex12m,ZAF2016DHS,CY2016Q3,ZAF,South Africa,all,female,Y020_024,543,1408,884.9009735467959,0.8353981640662508,0.012333189665852512,0.8097811153033578,0.8581695639611141
