indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
eversex,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y015_024,319,3439,3076.124280120582,0.7483514412616739,0.010909564728252217,0.7263729386597426,0.769125684723868
sex12m,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y015_024,319,3453,3089.0284468400573,0.6262947293023822,0.01328289739698612,0.5999173675743845,0.6519419955213673
sexcohab,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y015_024,319,3453,3089.0284468400573,0.436402085652742,0.014448933508678118,0.40831935571127587,0.46489867118239175
sexnonreg,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y015_024,319,3453,3089.0284468400573,0.18989264364964015,0.008737364239871051,0.17335567972138727,0.2076109311535628
sexnonregplus,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y015_024,319,3453,3089.0284468400573,0.18989264364964015,0.008737364239871051,0.17335567972138727,0.2076109311535628
sexpaid12m,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y015_024,319,3453,3089.0284468400573,0,0,,
sti12m,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y015_024,319,3452,3088.4409797610488,0.050995886802590984,0.004771630923651462,0.04241490811667677,0.06120193307594926
eversex,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y015_019,311,1800,1604.940754186137,0.5714279841166366,0.015041602646779497,0.5417274616658819,0.6006227034890173
sex12m,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y015_019,311,1805,1609.6701988619466,0.46147458415650433,0.015696493385367338,0.43089490475295733,0.49234696604176925
sexcohab,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y015_019,311,1805,1609.6701988619466,0.23883794861036992,0.012510329363423348,0.2151870895930003,0.2642131181505638
sexnonreg,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y015_019,311,1805,1609.6701988619466,0.22263663554613441,0.011448119426995173,0.20100681413705646,0.24587772505751296
sexnonregplus,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y015_019,311,1805,1609.6701988619466,0.22263663554613441,0.011448119426995173,0.20100681413705646,0.24587772505751296
sexpaid12m,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y015_019,311,1805,1609.6701988619466,0,0,,
sti12m,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y015_019,311,1805,1609.6701988619466,0.033354061453598774,0.005076725369446288,0.024716269476354653,0.04487168378781381
eversex,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y020_024,313,1639,1471.1842774383886,0.9411694676046937,0.00909088891219914,0.9206099849923659,0.956655378772254
sex12m,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y020_024,313,1648,1479.3582991915343,0.8055871310481122,0.014222501848385805,0.77619019571797,0.8319587776329632
sexcohab,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y020_024,313,1648,1479.3582991915343,0.6513136099557852,0.01907075968895271,0.6130694678944872,0.6877032572689402
sexnonreg,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y020_024,313,1648,1479.3582991915343,0.15427352109232692,0.011627280077500284,0.13283362356453277,0.17846174284208724
sexnonregplus,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y020_024,313,1648,1479.3582991915343,0.15427352109232692,0.011627280077500284,0.13283362356453277,0.17846174284208724
sexpaid12m,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y020_024,313,1648,1479.3582991915343,0,0,,
sti12m,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y020_024,313,1647,1478.7709124097576,0.07019141765580679,0.007459433418048667,0.05690588522433279,0.08629484502696522
eversex,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y025_029,308,1360,1213.7697364112441,0.9783105192460275,0.005191443394709746,0.9654262754622693,0.98646065733332
sex12m,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y025_029,308,1361,1214.762525932329,0.8806210766947092,0.01000410703208762,0.8595806697307968,0.8988796727147226
sexcohab,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y025_029,308,1361,1214.762525932329,0.7804326111277449,0.013942576262944869,0.7518896452401423,0.8065368386513169
sexnonreg,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y025_029,308,1361,1214.762525932329,0.10018846556696434,0.00997975500721284,0.08225451899249878,0.12151482434191382
sexnonregplus,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y025_029,308,1361,1214.762525932329,0.10018846556696434,0.00997975500721284,0.08225451899249878,0.12151482434191382
sexpaid12m,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y025_029,308,1361,1214.762525932329,0,0,,
sti12m,ZMB2002DHS,CY2002Q1,ZMB,Zambia,all,female,Y025_029,308,1358,1212.2091788333516,0.07092000306639683,0.0072692647950854195,0.057928444043593916,0.08655746530163995
eversex,ZMB2002DHS,CY2002Q1,ZMB_1_10,Central,all,female,Y015_024,31,413,413,0.7433414043583534,0.028219164811873854,0.684279412005313,0.7946700146388749
sex12m,ZMB2002DHS,CY2002Q1,ZMB_1_10,Central,all,female,Y015_024,31,415,415.00000000000006,0.616867469879518,0.03792063011822317,0.5403621568865509,0.6879914438658208
sexcohab,ZMB2002DHS,CY2002Q1,ZMB_1_10,Central,all,female,Y015_024,31,415,415.00000000000006,0.4554216867469879,0.03637251928468425,0.3855093823818476,0.5271363495124882
sexnonreg,ZMB2002DHS,CY2002Q1,ZMB_1_10,Central,all,female,Y015_024,31,415,415.00000000000006,0.1614457831325301,0.019095706267601095,0.12741997768738106,0.20244962698359129
sexnonregplus,ZMB2002DHS,CY2002Q1,ZMB_1_10,Central,all,female,Y015_024,31,415,415.00000000000006,0.1614457831325301,0.019095706267601095,0.12741997768738106,0.20244962698359129
sexpaid12m,ZMB2002DHS,CY2002Q1,ZMB_1_10,Central,all,female,Y015_024,31,415,415.00000000000006,0,0,,
sti12m,ZMB2002DHS,CY2002Q1,ZMB_1_10,Central,all,female,Y015_024,31,415,415.00000000000006,0.04337349397590361,0.01038101301116075,0.027016186360426152,0.06893289998566414
eversex,ZMB2002DHS,CY2002Q1,ZMB_1_10,Central,all,female,Y015_019,31,223,222.99999999999997,0.5739910313901346,0.037757228415512614,0.4988786897047553,0.6458374809106069
sex12m,ZMB2002DHS,CY2002Q1,ZMB_1_10,Central,all,female,Y015_019,31,223,222.99999999999997,0.4708520179372198,0.0359302301697487,0.4014630742870868,0.5413861220344397
sexcohab,ZMB2002DHS,CY2002Q1,ZMB_1_10,Central,all,female,Y015_019,31,223,222.99999999999997,0.26008968609865474,0.02748785520800292,0.20991190653594025,0.31744285669875705
sexnonreg,ZMB2002DHS,CY2002Q1,ZMB_1_10,Central,all,female,Y015_019,31,223,222.99999999999997,0.21076233183856505,0.02790400315222562,0.16122754603879602,0.2706060275083811
sexnonregplus,ZMB2002DHS,CY2002Q1,ZMB_1_10,Central,all,female,Y015_019,31,223,222.99999999999997,0.21076233183856505,0.02790400315222562,0.16122754603879602,0.2706060275083811
sexpaid12m,ZMB2002DHS,CY2002Q1,ZMB_1_10,Central,all,female,Y015_019,31,223,222.99999999999997,0,0,,
sti12m,ZMB2002DHS,CY2002Q1,ZMB_1_10,Central,all,female,Y015_019,31,223,222.99999999999997,0.03139013452914799,0.012163185252900765,0.014579736373227003,0.06627922433399502
eversex,ZMB2002DHS,CY2002Q1,ZMB_1_10,Central,all,female,Y020_024,31,190,190,0.9421052631578947,0.020329079184033004,0.8868517223894108,0.9712515715072428
sex12m,ZMB2002DHS,CY2002Q1,ZMB_1_10,Central,all,female,Y020_024,31,192,191.99999999999997,0.7864583333333333,0.045529193066910244,0.6840309670042677,0.86236300607166
sexcohab,ZMB2002DHS,CY2002Q1,ZMB_1_10,Central,all,female,Y020_024,31,192,191.99999999999997,0.6822916666666666,0.05334905983603836,0.5700261918742925,0.7767261682334635
sexnonreg,ZMB2002DHS,CY2002Q1,ZMB_1_10,Central,all,female,Y020_024,31,192,191.99999999999997,0.10416666666666666,0.024225005842465574,0.06534035407756654,0.16206381294885544
sexnonregplus,ZMB2002DHS,CY2002Q1,ZMB_1_10,Central,all,female,Y020_024,31,192,191.99999999999997,0.10416666666666666,0.024225005842465574,0.06534035407756654,0.16206381294885544
sexpaid12m,ZMB2002DHS,CY2002Q1,ZMB_1_10,Central,all,female,Y020_024,31,192,191.99999999999997,0,0,,
sti12m,ZMB2002DHS,CY2002Q1,ZMB_1_10,Central,all,female,Y020_024,31,192,191.99999999999997,0.057291666666666664,0.01472635077322332,0.03438942298670967,0.09396190323602337
eversex,ZMB2002DHS,CY2002Q1,ZMB_1_10,Central,all,female,Y025_029,31,159,159,1,0,,
sex12m,ZMB2002DHS,CY2002Q1,ZMB_1_10,Central,all,female,Y025_029,31,159,159,0.9182389937106918,0.020693045429863447,0.8674315408335918,0.9506813728717687
sexcohab,ZMB2002DHS,CY2002Q1,ZMB_1_10,Central,all,female,Y025_029,31,159,159,0.8176100628930818,0.030632036371952033,0.7498168557833663,0.8702127875489282
sexnonreg,ZMB2002DHS,CY2002Q1,ZMB_1_10,Central,all,female,Y025_029,31,159,159,0.10062893081761007,0.023121012248690027,0.06350807350545704,0.1558366132317687
