indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
eversex,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y015_024,398,4065,2906.8519501883698,0.5642987383249559,0.011230054256856489,0.5421756650607295,0.5861687483919706
sex12m,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y015_024,398,4071,2911.907966722895,0.49736143241909686,0.011365896416947244,0.47510464338685604,0.5196286830826556
sexcohab,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y015_024,398,4071,2911.907966722895,0.4118985434633107,0.012633217877253022,0.3873800342437962,0.43686227208922074
sexnonreg,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y015_024,398,4071,2911.907966722895,0.0853199022627,0.005837962590209748,0.07455169547683872,0.0974796339701208
sexnonregplus,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y015_024,398,4071,2911.907966722895,0.08546288895578617,0.00583698668197033,0.07469517163956095,0.09761907279880817
sexpaid12m,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y015_024,398,4071,2911.907966722895,1.42986693086178e-4,1.433090643947596e-4,2.0049631339299908e-5,0.0010189610799012756
sti12m,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y015_024,398,4071,2912.0877663261263,0.061402555956480344,0.00926090975029789,0.0455692868989518,0.08226300630705653
eversex,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y015_019,390,2126,1458.895613084746,0.3195760879162844,0.014503267923061761,0.29184378138543526,0.34864623213296253
sex12m,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y015_019,390,2128,1460.7351648112112,0.2806008556024299,0.014154235377279395,0.2537121092457381,0.3091587822397443
sexcohab,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y015_019,390,2128,1460.7351648112112,0.21030194443452552,0.014495783115612023,0.18329502785398966,0.24011816556626836
sexnonreg,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y015_019,390,2128,1460.7351648112112,0.07002619242272147,0.00634642037759488,0.05856365270365531,0.08353320264298036
sexnonregplus,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y015_019,390,2128,1460.7351648112112,0.0702989111679044,0.006347450715595238,0.058830769374333326,0.08380353209141114
sexpaid12m,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y015_019,390,2128,1460.7351648112112,2.7271874518293795e-4,2.733884923880475e-4,3.822012798711073e-5,0.0019431817477209414
sti12m,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y015_019,390,2128,1461.147862711756,0.03192843563345424,0.01059976306865016,0.016561928364580775,0.06067271199193067
eversex,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y020_024,394,1939,1454.5290423267688,0.8342668839261588,0.012138596957148974,0.8090896430425756,0.8567117840535958
sex12m,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y020_024,394,1943,1457.7662211439247,0.7362682990687592,0.01267762339161959,0.7106819454024743,0.7603548958839594
sexcohab,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y020_024,394,1943,1457.7662211439247,0.634092138389619,0.015120740090524193,0.6039812280325503,0.6631903069268921
sexnonreg,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y020_024,394,1943,1457.7662211439247,0.10217616067914023,0.00847213691940404,0.0867258145544079,0.12001729284200424
sexnonregplus,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y020_024,394,1943,1457.7662211439247,0.10217616067914023,0.00847213691940404,0.0867258145544079,0.12001729284200424
sexpaid12m,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y020_024,394,1943,1457.7662211439247,0,0,,
sti12m,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y020_024,394,1943,1457.5681009013383,0.09390972566509914,0.010925399347465206,0.07457424400766424,0.11762129280228627
eversex,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y025_029,386,1436,1046.6159631531684,0.9658574065100294,0.005160649968892696,0.9541633070133488,0.9746473178116355
sex12m,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y025_029,386,1438,1048.1655392984153,0.8590182717383886,0.010781867052342041,0.8365347142460681,0.8788572012991206
sexcohab,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y025_029,386,1438,1048.1655392984153,0.787042845801265,0.012800833986698635,0.760878278412731,0.8110554313770519
sexnonreg,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y025_029,386,1438,1048.1655392984153,0.07197542593712367,0.007513560278711112,0.058568543792438525,0.08816386341143831
sexnonregplus,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y025_029,386,1438,1048.1655392984153,0.07197542593712367,0.007513560278711112,0.058568543792438525,0.08816386341143831
sexpaid12m,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y025_029,386,1438,1048.1655392984153,0,0,,
sti12m,ZWE2005DHS,CY2005Q4,ZWE,Zimbabwe,all,female,Y025_029,386,1437,1047.57096179261,0.10680175494288022,0.012237213458112774,0.08507905080508396,0.13326293145970702
eversex,ZWE2005DHS,CY2005Q4,ZWE_1_10,Bulawayo,all,female,Y015_024,31,418,384.26216526749056,0.41696963921739055,0.03358461990183608,0.35297422394845257,0.48389042732260357
sex12m,ZWE2005DHS,CY2005Q4,ZWE_1_10,Bulawayo,all,female,Y015_024,31,418,384.26216526749056,0.37800887681061085,0.03159479836314257,0.31834565881115257,0.4416097897141618
sexcohab,ZWE2005DHS,CY2005Q4,ZWE_1_10,Bulawayo,all,female,Y015_024,31,418,384.26216526749056,0.19780914922047974,0.01836289640792721,0.16426158986511735,0.2362712261147234
sexnonreg,ZWE2005DHS,CY2005Q4,ZWE_1_10,Bulawayo,all,female,Y015_024,31,418,384.26216526749056,0.18019972759013111,0.02758560023460381,0.13227587103089036,0.2406707525182384
sexnonregplus,ZWE2005DHS,CY2005Q4,ZWE_1_10,Bulawayo,all,female,Y015_024,31,418,384.26216526749056,0.18019972759013111,0.02758560023460381,0.13227587103089036,0.2406707525182384
sexpaid12m,ZWE2005DHS,CY2005Q4,ZWE_1_10,Bulawayo,all,female,Y015_024,31,418,384.26216526749056,0,0,,
sti12m,ZWE2005DHS,CY2005Q4,ZWE_1_10,Bulawayo,all,female,Y015_024,31,419,385.2305991734229,0.00905245514718224,0.004238224652862146,0.003605674670874108,0.022541076528709694
eversex,ZWE2005DHS,CY2005Q4,ZWE_1_10,Bulawayo,all,female,Y015_019,31,221,202.90685316687035,0.19040361721427707,0.04180395188327561,0.12143484166157446,0.2858007322315819
sex12m,ZWE2005DHS,CY2005Q4,ZWE_1_10,Bulawayo,all,female,Y015_019,31,221,202.90685316687035,0.17401952851980218,0.03673457934750026,0.11321552803456546,0.25797915038991565
sexcohab,ZWE2005DHS,CY2005Q4,ZWE_1_10,Bulawayo,all,female,Y015_019,31,221,202.90685316687035,0.03240791771982141,0.014710879609476342,0.013178662396759105,0.07749168945529535
sexnonreg,ZWE2005DHS,CY2005Q4,ZWE_1_10,Bulawayo,all,female,Y015_019,31,221,202.90685316687035,0.14161161079998077,0.029318237577739374,0.0932411236167847,0.20928357060252314
sexnonregplus,ZWE2005DHS,CY2005Q4,ZWE_1_10,Bulawayo,all,female,Y015_019,31,221,202.90685316687035,0.14161161079998077,0.029318237577739374,0.0932411236167847,0.20928357060252314
sexpaid12m,ZWE2005DHS,CY2005Q4,ZWE_1_10,Bulawayo,all,female,Y015_019,31,221,202.90685316687035,0,0,,
sti12m,ZWE2005DHS,CY2005Q4,ZWE_1_10,Bulawayo,all,female,Y015_019,31,221,202.90685316687035,0,0,,
eversex,ZWE2005DHS,CY2005Q4,ZWE_1_10,Bulawayo,all,female,Y020_024,31,197,181.35564988997888,0.6699837779374457,0.034881047158976136,0.5984264026904249,0.7344484162898607
sex12m,ZWE2005DHS,CY2005Q4,ZWE_1_10,Bulawayo,all,female,Y020_024,31,197,181.35564988997888,0.6058108605747742,0.03412123551450651,0.5373527415273877,0.6703534553852958
sexcohab,ZWE2005DHS,CY2005Q4,ZWE_1_10,Bulawayo,all,female,Y020_024,31,197,181.35564988997888,0.3825184439389987,0.036220868044481366,0.3144423359136502,0.4555395538819418
sexnonreg,ZWE2005DHS,CY2005Q4,ZWE_1_10,Bulawayo,all,female,Y020_024,31,197,181.35564988997888,0.22329241663577548,0.034634840452233064,0.16273877649339963,0.298348686981121
sexnonregplus,ZWE2005DHS,CY2005Q4,ZWE_1_10,Bulawayo,all,female,Y020_024,31,197,181.35564988997888,0.22329241663577548,0.034634840452233064,0.16273877649339963,0.298348686981121
sexpaid12m,ZWE2005DHS,CY2005Q4,ZWE_1_10,Bulawayo,all,female,Y020_024,31,197,181.35564988997888,0,0,,
sti12m,ZWE2005DHS,CY2005Q4,ZWE_1_10,Bulawayo,all,female,Y020_024,31,198,182.32385643160404,0.01911606773769254,0.009081745473549455,0.00748589972066393,0.04794219127486678
eversex,ZWE2005DHS,CY2005Q4,ZWE_1_10,Bulawayo,all,female,Y025_029,30,124,115.30927716737936,0.9373622723946532,0.018925478876500774,0.8883446572898682,0.9656918271151899
sex12m,ZWE2005DHS,CY2005Q4,ZWE_1_10,Bulawayo,all,female,Y025_029,30,126,117.2296803926165,0.8569156842812721,0.032038722787627455,0.7820682692839057,0.9090467362540603
