iso3,model,dic,dic_se,waic,waic_se
BWA,Model 1: Constant,605,24,613,28
BWA,Model 2: IID,603,24,610,27
BWA,Model 3: BYM2,601,24,608,26
CMR,Model 1: Constant,,,,
CMR,Model 2: IID,,,,
CMR,Model 3: BYM2,,,,
KEN,Model 1: Constant,3482,113,267335550548,31650986796
KEN,Model 2: IID,-1218290,862257,53519639058598e12,37818928023969124e9
KEN,Model 3: BYM2,,,,
LSO,Model 1: Constant,1245,78,5476811183701,1041348284009
LSO,Model 2: IID,412,30,400,30
LSO,Model 3: BYM2,412,30,400,30
MOZ,Model 1: Constant,,,,
MOZ,Model 2: IID,,,,
MOZ,Model 3: BYM2,,,,
MWI,Model 1: Constant,1641,74,1816,92
MWI,Model 2: IID,1220,43,1241,49
MWI,Model 3: BYM2,1224,44,1250,50
NAM,Model 1: Constant,3715,120,811678807597,177441624739
NAM,Model 2: IID,-428428,260480,21699797908469695e9,149986533322595e11
NAM,Model 3: BYM2,-61719,38060,8882338316962457e9,6149822979839856e9
SWZ,Model 1: Constant,629,74,21979289963875,6434717548759
SWZ,Model 2: IID,172,20,170,21
SWZ,Model 3: BYM2,172,20,170,21
TZA,Model 1: Constant,,,,
TZA,Model 2: IID,,,,
TZA,Model 3: BYM2,,,,
UGA,Model 1: Constant,,,,
UGA,Model 2: IID,,,,
UGA,Model 3: BYM2,,,,
ZAF,Model 1: Constant,,,,
ZAF,Model 2: IID,,,,
ZAF,Model 3: BYM2,,,,
ZMB,Model 1: Constant,,,,
ZMB,Model 2: IID,,,,
ZMB,Model 3: BYM2,,,,
ZWE,Model 1: Constant,3564,130,3930,178
ZWE,Model 2: IID,2631,66,84775156537897760,43098899633306090
ZWE,Model 3: BYM2,2864,79,3944461519531365e15,26732595581775434e14
