indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
eversex,MWI2015DHS,CY2015Q4,MWI,Malawi,all,female,Y015_024,850,10227,6425.246859067319,0.7254773054209407,0.0069332333226863815,0.711681527787825,0.7388551907230965
sex12m,MWI2015DHS,CY2015Q4,MWI,Malawi,all,female,Y015_024,850,10367,6526.41693999663,0.6261670171081021,0.007892877370684764,0.610572913383536,0.6415033171934488
sexcohab,MWI2015DHS,CY2015Q4,MWI,Malawi,all,female,Y015_024,850,10367,6526.41693999663,0.4725387322758535,0.00884505788348093,0.45524274553929744,0.4899008906142471
sexnonreg,MWI2015DHS,CY2015Q4,MWI,Malawi,all,female,Y015_024,850,10367,6526.41693999663,0.15362828483224855,0.005483815638395829,0.14318514981516842,0.16468668645560952
sexpaid12m,MWI2015DHS,CY2015Q4,MWI,Malawi,all,female,Y015_024,849,6403,4075.2504935624283,0.014903438464000409,0.002159770682272906,0.011212190619063513,0.01978559264907733
sti12m,MWI2015DHS,CY2015Q4,MWI,Malawi,all,female,Y015_024,850,10367,6526.41693999663,0.1004276115264506,0.005011936281035859,0.091022294568323725,0.11068643578579712
eversex,MWI2015DHS,CY2015Q4,MWI,Malawi,all,female,Y015_019,847,5251,3293.583312734566,0.5172673942707148,0.010278306147433993,0.49710513153816294,0.5373735903997047
sex12m,MWI2015DHS,CY2015Q4,MWI,Malawi,all,female,Y015_019,847,5273,3311.8857899948725,0.430298862724985,0.010221826420698734,0.41038894606995546,0.45043678028772355
sexcohab,MWI2015DHS,CY2015Q4,MWI,Malawi,all,female,Y015_019,847,5273,3311.8857899948725,0.24021652046544517,0.009040075773726152,0.22294737965077188,0.25837852098077846
sexnonreg,MWI2015DHS,CY2015Q4,MWI,Malawi,all,female,Y015_019,847,5273,3311.8857899948725,0.19008234225953985,0.008141976497074628,0.17463445259564672,0.2065547507334911
sexpaid12m,MWI2015DHS,CY2015Q4,MWI,Malawi,all,female,Y015_019,773,2213,1419.4029773773577,0.028155003077537013,0.005150361363673125,0.019639218958988323,0.04021186764573621
sti12m,MWI2015DHS,CY2015Q4,MWI,Malawi,all,female,Y015_019,847,5273,3311.8857899948725,0.07156612431611005,0.0063102287644719235,0.06014229293953592,0.08496371297452786
eversex,MWI2015DHS,CY2015Q4,MWI,Malawi,all,female,Y020_024,845,4976,3131.9435253047827,0.9415607638090875,0.005169295925039444,0.9305662686399973,0.9509061797662258
sex12m,MWI2015DHS,CY2015Q4,MWI,Malawi,all,female,Y020_024,845,5094,3214.687514837988,0.8259914927749196,0.008875547075381044,0.8079041768450306,0.8427073200891068
sexcohab,MWI2015DHS,CY2015Q4,MWI,Malawi,all,female,Y020_024,845,5094,3214.687514837988,0.7095535972342772,0.011608597913130608,0.6862865043546179,0.7317695029362747
sexnonreg,MWI2015DHS,CY2015Q4,MWI,Malawi,all,female,Y020_024,845,5094,3214.687514837988,0.11643789554064236,0.006451530860826824,0.1043768956948634,0.12969076121358947
sexpaid12m,MWI2015DHS,CY2015Q4,MWI,Malawi,all,female,Y020_024,840,4190,2655.8761521241495,0.007860617742548549,0.0016385563433173622,0.005221203365544863,0.011818452852632767
sti12m,MWI2015DHS,CY2015Q4,MWI,Malawi,all,female,Y020_024,845,5094,3214.687514837988,0.12987206903377047,0.006863301254543114,0.11700246029863404,0.14392652503221362
eversex,MWI2015DHS,CY2015Q4,MWI,Malawi,all,female,Y025_029,837,3806,2320.645555100816,0.9884058324928348,0.002586621829268494,0.9820702294237811,0.9925197602509469
sex12m,MWI2015DHS,CY2015Q4,MWI,Malawi,all,female,Y025_029,840,3976,2429.772001208916,0.8704293123233183,0.007207647442355787,0.8556355050403786,0.8839127999185693
sexcohab,MWI2015DHS,CY2015Q4,MWI,Malawi,all,female,Y025_029,840,3976,2429.772001208916,0.8013506834519917,0.00902072321780515,0.7830775754677706,0.8184413900535854
sexnonreg,MWI2015DHS,CY2015Q4,MWI,Malawi,all,female,Y025_029,840,3976,2429.772001208916,0.069078628871326625,0.00527436108215147,0.05943020767895357,0.08015996231773248
sexpaid12m,MWI2015DHS,CY2015Q4,MWI,Malawi,all,female,Y025_029,839,3467,2114.2450937245712,4.356188417669713e-4,2.3696082426136983e-4,1.4997063914040938e-4,0.001264651346537913
sti12m,MWI2015DHS,CY2015Q4,MWI,Malawi,all,female,Y025_029,840,3976,2429.772001208916,0.15622682063990218,0.007952532917805833,0.14126571574367217,0.1724542154439629
eversex,MWI2015DHS,CY2015Q4,MWI_1_1,Northern,all,female,Y015_024,163,1911,1068.5782662444199,0.704242007900224,0.017399899924774184,0.6690402497857818,0.737170487321605
sex12m,MWI2015DHS,CY2015Q4,MWI_1_1,Northern,all,female,Y015_024,163,1931,1081.8327120164015,0.6053064430344598,0.017814626704513878,0.5699086189754087,0.639633098900938
sexcohab,MWI2015DHS,CY2015Q4,MWI_1_1,Northern,all,female,Y015_024,163,1931,1081.8327120164015,0.5197716700055067,0.019999112980173588,0.4805329012770264,0.5587680276999479
sexnonreg,MWI2015DHS,CY2015Q4,MWI_1_1,Northern,all,female,Y015_024,163,1931,1081.8327120164015,0.08553477302895302,0.009292205249405125,0.06899336128087365,0.10559225141451306
sexpaid12m,MWI2015DHS,CY2015Q4,MWI_1_1,Northern,all,female,Y015_024,163,1130,634.276523017065,0.014660140579179373,0.004040997095567659,0.008525369419827147,0.025097685206358602
sti12m,MWI2015DHS,CY2015Q4,MWI_1_1,Northern,all,female,Y015_024,163,1931,1081.8327120164015,0.053336355291010995,0.006761805725973788,0.041534746812518966,0.06825246347592279
eversex,MWI2015DHS,CY2015Q4,MWI_1_1,Northern,all,female,Y015_019,161,989,544.3917147634643,0.49080662682135556,0.02187316298033745,0.44810800564034636,0.5336398048716151
sex12m,MWI2015DHS,CY2015Q4,MWI_1_1,Northern,all,female,Y015_019,161,992,547.1441818058913,0.4205771592155346,0.024780520173249415,0.3729202582929944,0.4697619452600932
sexcohab,MWI2015DHS,CY2015Q4,MWI_1_1,Northern,all,female,Y015_019,161,992,547.1441818058913,0.3202997087301034,0.02810341599387711,0.2678806123247989,0.37768463874607255
sexnonreg,MWI2015DHS,CY2015Q4,MWI_1_1,Northern,all,female,Y015_019,161,992,547.1441818058913,0.1002774504854312,0.01577456645702631,0.0733162935647804,0.1357013631985928
sexpaid12m,MWI2015DHS,CY2015Q4,MWI_1_1,Northern,all,female,Y015_019,140,380,209.02644321929182,0.03035046863655187,0.009958144823117491,0.015870030472727503,0.05727448305950476
sti12m,MWI2015DHS,CY2015Q4,MWI_1_1,Northern,all,female,Y015_019,161,992,547.1441818058913,0.04386339758831482,0.010059482282201156,0.02787016053040648,0.06838867827884695
eversex,MWI2015DHS,CY2015Q4,MWI_1_1,Northern,all,female,Y020_024,163,922,524.2046196207854,0.9277276636846726,0.013681682477763949,0.895888791556726,0.9503691057658407
sex12m,MWI2015DHS,CY2015Q4,MWI_1_1,Northern,all,female,Y020_024,163,939,534.7249877874333,0.7965338215989738,0.01798135084519379,0.7590196949050517,0.8295196959335728
sexcohab,MWI2015DHS,CY2015Q4,MWI_1_1,Northern,all,female,Y020_024,163,939,534.7249877874333,0.7262603190342527,0.022598099983238282,0.6798198174334559,0.7682610358153767
sexnonreg,MWI2015DHS,CY2015Q4,MWI_1_1,Northern,all,female,Y020_024,163,939,534.7249877874333,0.07027350256472108,0.01162827322587869,0.050626468218993526,0.09676796408627299
sexpaid12m,MWI2015DHS,CY2015Q4,MWI_1_1,Northern,all,female,Y020_024,162,750,427.01484078545036,0.006084080570469304,0.0029888195126715625,0.002318050625502384,0.01587127175682529
sti12m,MWI2015DHS,CY2015Q4,MWI_1_1,Northern,all,female,Y020_024,163,939,534.7249877874333,0.0631425367003146,0.010198817917335658,0.045867421730006366,0.08633527253414551
eversex,MWI2015DHS,CY2015Q4,MWI_1_1,Northern,all,female,Y025_029,162,798,452.8925640743138,0.9759863080737816,0.009511156579845829,0.948310969433838,0.9890153596324395
sex12m,MWI2015DHS,CY2015Q4,MWI_1_1,Northern,all,female,Y025_029,162,842,478.79981506836185,0.8295911756795097,0.019253668731263236,0.788481704767959,0.8640880631327087
